question,option_a,option_b,option_c,option_d,correct_answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,C
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
Who wrote "Hamlet"?,Shakespeare,Milton,Dickens,Chaucer,A
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,A
What is the square root of 144?,10,11,12,13,C
Which country is known as the Land of the Rising Sun?,China,Korea,Japan,Thailand,C
What is the fastest land animal?,Cheetah,Lion,Tiger,Elephant,A
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D
Who painted the Mona Lisa?,Van Gogh,Picasso,Da Vinci,Rembrandt,C
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
What is the smallest planet in our solar system?,Earth,Mercury,Mars,Venus,B
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,B
Which element has the atomic number 1?,Oxygen,Hydrogen,Helium,Nitrogen,B
What is the currency of Japan?,Yuan,Yen,Won,Ringgit,B
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,B
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
Which animal is known for its black and white stripes?,Zebra,Tiger,Leopard,Lion,A
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Everest,Mount Fuji,C
What is the longest river in the world?,Amazon,Nile,Mississippi,Yangtze,B
What is the chemical formula for water?,H2O,CO2,O2,H2SO4,A
Who discovered penicillin?,Albert Einstein,Isaac Newton,Alexander Fleming,Marie Curie,C
What is the speed of light in a vacuum?,3.0×10^8 m/s,2.5×10^8 m/s,3.5×10^8 m/s,4.0×10^8 m/s,A
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
How many continents are there on Earth?,5,6,7,8,C
What is the primary ingredient in guacamole?,Tomato,Onion,Avocado,Peppers,C
What is the largest desert in the world?,Sahara,Arabian,Atacama,Antarctic,D
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
What is the tallest building in the world?,Eiffel Tower,Burj Khalifa,Empire State Building,Shanghai Tower,B
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Albert Einstein,A
What is the main language spoken in Brazil?,Spanish,Portuguese,English,French,B
What is the chemical symbol for water?,H2O,O2,CO2,HO2,A
Which country has the most pyramids?,Mexico,Egypt,Sudan,Peru,C
Who was the first man to walk on the moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,C
What is the national flower of Japan?,Rose,Lotus,Cherry Blossom,Orchid,C
Which element is most abundant in the Earth’s crust?,Oxygen,Silicon,Aluminum,Iron,A
What is the capital of Germany?,Berlin,Frankfurt,Munich,Hamburg,A
Which famous scientist developed the theory of relativity?,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein,D
What is the currency of the United Kingdom?,Euro,Pound,Dollar,Yen,B
How many bones are in the adult human body?,206,208,210,202,A
Who painted the Starry Night?,Claude Monet,Pablo Picasso,Salvador Dalí,Vincent van Gogh,D
What is the largest country by land area?,United States,Canada,China,Russia,D
What is the main ingredient in sushi?,Rice,Seaweed,Fish,Vegetables,C
What is the freezing point of water?,0°C,32°F,0°F,32°C,A
Which gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the first element on the periodic table?,Hydrogen,Helium,Lithium,Beryllium,A
Which animal is known as the king of the jungle?,Tiger,Lion,Elephant,Leopard,B
What is the capital of Spain?,Lisbon,Madrid,Paris,Barcelona,B
Who discovered America?,Christopher Columbus,Leif Erikson,Ferdinand Magellan,Vasco da Gama,A
What is the chemical symbol for oxygen?,O,O2,OX,Oz,A
Which country is known for producing the most chocolate?,Switzerland,Belgium,France,Germany,A
What is the largest island in the world?,Greenland,Australia,New Guinea,Borneo,A
How many planets are in our solar system?,7,8,9,10,B
Who is the author of "1984"?,Aldous Huxley,Ray Bradbury,George Orwell,John Steinbeck,C
What is the longest mountain range in the world?,Himalayas,Rockies,Andes,Alps,C
What is the primary source of energy for the Earth?,The Moon,The Sun,The Earth itself,Wind,B
